id,title,text,text_norm
11,similar solutions in compressible laminar free mixing problems .,"similar solutions in compressible laminar free mixing problems . there are in supersonic aerodynamics many situations of practical interest wherein streams of different velocities and, in general, different stagnation pressures mix with one another . in the majority of these problems the interaction between the two streams takes place in the presence of an axial pressure gradient . its effect on the characteristics of the mixing may influence significantly the performances of the devices wherein the phenomena cited above occur . a theoretical and experimental program of research to study mixing in the presence of axial pressure gradients is being carried on at the polytechnic institute of brooklyn .",similar solut compress laminar free mix problem superson aerodynam mani situat practic interest wherein stream differ veloc gener differ stagnat pressur mix one anoth major problem interact two stream take place presenc axial pressur gradient effect characterist mix may influenc significantli perform devic wherein phenomena cite occur theoret experiment program research studi mix presenc axial pressur gradient carri polytechn institut brooklyn
12,some structural and aerelastic considerations of high speed flight .,"some structural and aerelastic considerations of high speed flight . the dominating factors in structural design of high-speed aircraft are thermal and aeroelastic in origin . the subject matter is concerned largely with a discussion of these factors and their interrelation with one another . a summary is presented of some of the analytical and experimental tools available to aeronautical engineers to meet the demands of high-speed flight upon aircraft structures . the state of the art with respect to heat transfer from the boundary layer into the structure, modes of failure under combined load as well as thermal inputs and acrothermoelasticity is discussed . methods of attacking and alleviating structural and aeroelastic problems of high-speed flight are summarized . finally, some avenues of fundamental research are suggested .",structur aerelast consider high speed flight domin factor structur design high speed aircraft thermal aeroelast origin subject matter concern larg discuss factor interrel one anoth summari present analyt experiment tool avail aeronaut engin meet demand high speed flight upon aircraft structur state art respect heat transfer boundari layer structur mode failur combin load well thermal input acrothermoelast discuss method attack allevi structur aeroelast problem high speed flight summar final avenu fundament research suggest
13,similarity laws for stressing heated wings .,"similarity laws for stressing heated wings . it will be shown that the differential equations for a heated plate with large temperature gradient and for a similar plate at constant temperature can be made the same by a proper modification of the thickness and the loading for the isothermal plate . this fact leads to the result that the stresses in the heated plate can be calculated from measured strains on the unheated plate by a series of relations, called the /similarity laws ./ the application of this analog theory to solid wings under aerodynamic heating is discussed in detail . the loading on the unheated analog wing is, however, complicated and involves the novel concept of feedback and /body force/ loading . the problem of stressing a heated box-wing structure can be solved by the same analog method and is briefly discussed .",similar law stress heat wing shown differenti equat heat plate larg temperatur gradient similar plate constant temperatur made proper modif thick load isotherm plate fact lead result stress heat plate calcul measur strain unheat plate seri relat call similar law applic analog theori solid wing aerodynam heat discuss detail load unheat analog wing howev complic involv novel concept feedback bodi forc load problem stress heat box wing structur solv analog method briefli discuss
14,piston theory - a new aerodynamic tool for the aeroelastician .,"piston theory - a new aerodynamic tool for the aeroelastician . representative applications are described which illustrate the extent to which simplifications in the solutions of high-speed unsteady aeroelastic problems can be achieved through the use of certain aerodynamic techniques known collectively as /piston theory ./ based on a physical model originally proposed by hayes and lighthill, piston theory for airfoils and finite wings has been systematically developed by landahl, utilizing expansions in powers of the thickness ratio and the inverse of the flight mach number m . when contributions of orders and are negligible, the theory predicts a point-function relationship between the local pressure on the surface of a wing and the normal component of fluid velocity produced by the wing's motion . the computation of generalized forces in aeroelastic equations, such as the flutter determinant, is then always reduced to elementary integrations of the assumed modes of motion . essentially closed-form solutions are given for the bending- torsion and control-surface flutter properties of typical section airfoils at high mach numbers . these agree well with results of more exact theories wherever comparisons can be fairly made . moreover, they demonstrate the increasingly important influence of thickness and profile shape as m grows larger, a discovery that would be almost impossible using other available aerodynamic tools . the complexity of more practical flutter analyses-e.g., on three-dimensional wings and panels-is shown to be substantially reduced by piston theory . an iterative procedure is outlined, by which improved flutter eigenvalues can be found through the successive introduction of higher-order terms in and . other applications to unsteady supersonic problems are reviewed, including gust response and rapid maneuvers of elastic aircraft . steady-state aeroelastic calculations are also discussed, but for them piston theory amounts only to a slight modification of ackeret's formulas . suggestions are made regarding future research based on the new aerodynamic method, with particular emphasis on areas where computational labor can be reduced with a minimum loss of precision . it is pointed out that a mach number zone exists where thermal effects are appreciable but nonlinear viscous interactions may be neglected, and that in this zone piston theory is the logical way of estimating air loads when analyzing aerodynamic- thermoelastic interaction problems .",piston theori new aerodynam tool aeroelastician repres applic describ illustr extent simplif solut high speed unsteadi aeroelast problem achiev use certain aerodynam techniqu known collect piston theori base physic model origin propos hay lighthil piston theori airfoil finit wing systemat develop landahl util expans power thick ratio invers flight mach number contribut order neglig theori predict point function relationship local pressur surfac wing normal compon fluid veloc produc wing motion comput gener forc aeroelast equat flutter determin alway reduc elementari integr assum mode motion essenti close form solut given bend torsion control surfac flutter properti typic section airfoil high mach number agre well result exact theori wherev comparison fairli made moreov demonstr increasingli import influenc thick profil shape grow larger discoveri would almost imposs use avail aerodynam tool complex practic flutter analys three dimension wing panel shown substanti reduc piston theori iter procedur outlin improv flutter eigenvalu found success introduct higher order term applic unsteadi superson problem review includ gust respons rapid maneuv elast aircraft steadi state aeroelast calcul also discuss piston theori amount slight modif ackeret formula suggest made regard futur research base new aerodynam method particular emphasi area comput labor reduc minimum loss precis point mach number zone exist thermal effect appreci nonlinear viscou interact may neglect zone piston theori logic way estim air load analyz aerodynam thermoelast interact problem
15,on two-dimensional panel flutter .,"on two-dimensional panel flutter . theory and experiments of the flutter of a buckled plate are discussed . it is shown that an increase in the initial deviation from flatness or a static pressure differential across the plate raises the critical value of the /reduced velocity ./ the applicability of the galerkin method to the linearized problem of flutter of an unbuckled plate has been questioned by several authors . in this paper the flutter condition was formulated in the form of an integral equation and solved numerically by the method of iteration and the method of matrix approximations, thus avoiding the constraint of assumed modes . for a plate (with finite bending rigidity) the results confirm those given by the galerkin method . an approximate analysis of the limiting form and amplitude of the flutter motion for a buckled plate is presented .",two dimension panel flutter theori experi flutter buckl plate discuss shown increas initi deviat flat static pressur differenti across plate rais critic valu reduc veloc applic galerkin method linear problem flutter unbuckl plate question sever author paper flutter condit formul form integr equat solv numer method iter method matrix approxim thu avoid constraint assum mode plate finit bend rigid result confirm given galerkin method approxim analysi limit form amplitud flutter motion buckl plate present
16,transformation of the compressible turbulent boundary layer .,"transformation of the compressible turbulent boundary layer . the transformation of the compressible turbulent boundary- layer equations to their incompressible equivalent is demonstrated analytically . the transformation is essentially the same as that for the laminar layer, first given by stewartson, except that the explicit relation between the viscosity and temperature is not required . a key point in the analysis is the modification of the stream function to include a mean of the fluctuating components and the postulate that the apparent turbulent shear, associated with an elemental mass, remains invariant in the transformation . the values of the incompressible friction coefficients and of pressure rise causing separation thus transformed show good agreement with the experimentally measured and independently reported results . an application of the transformation to the self-preserving boundary layers and to the computations of general boundary-layer flow is shown .",transform compress turbul boundari layer transform compress turbul boundari layer equat incompress equival demonstr analyt transform essenti laminar layer first given stewartson except explicit relat viscos temperatur requir key point analysi modif stream function includ mean fluctuat compon postul appar turbul shear associ element mass remain invari transform valu incompress friction coeffici pressur rise caus separ thu transform show good agreement experiment measur independ report result applic transform self preserv boundari layer comput gener boundari layer flow shown
17,remarks on the eddy viscosity in compressible mixing flows .,"remarks on the eddy viscosity in compressible mixing flows . in connection with a study of the wakes behind bodies in hypersonic flow carried out for the missile and space vehicle division of the general electric company, it was desired to estimate the eddy viscosity in axisymmetric, compressible wakes . because of the lack of applicable experimental data, it was found necessary to make such an estimate by rationally extending the few available data for incompressible flows to the compressible case . this suggested the application and extension of the transformations applied to turbulent boundary layers in reference infinitesimal mass are invariant with transformation, mager showed that the partial differential equations for the compressible turbulent boundary layer can be transformed to incompressible form . the validity of this assumption and of the transformations was established for several boundary-layer flows by comparison with experiment .",remark eddi viscos compress mix flow connect studi wake behind bodi hyperson flow carri missil space vehicl divis gener electr compani desir estim eddi viscos axisymmetr compress wake lack applic experiment data found necessari make estim ration extend avail data incompress flow compress case suggest applic extens transform appli turbul boundari layer refer infinitesim mass invari transform mager show partial differenti equat compress turbul boundari layer transform incompress form valid assumpt transform establish sever boundari layer flow comparison experi
18,the flow field in the diffuser of a radial compressor .,"the flow field in the diffuser of a radial compressor . this note discusses the two-dimensional diffuser flow field in a radial compressor outside the impeller wheel . it is assumed that the diffuser has guide vanes arranged in a circular row at a radius . the impeller wheel has the radius (see fig. 1) . the flow in the diffuser starts at the circle with the radius . the velocity components, and in the r and directions of the velocity vector on this circle are prescribed together with the thermal state of the gas . the flow so prescribed on the radius will, if no disturbances are present (i.e., no boundary conditions in the flow other than zero velocity at infinity are to be fulfilled), develop in a spiral flow .",flow field diffus radial compressor note discuss two dimension diffus flow field radial compressor outsid impel wheel assum diffus guid vane arrang circular row radiu impel wheel radiu see fig flow diffus start circl radiu veloc compon direct veloc vector circl prescrib togeth thermal state ga flow prescrib radiu disturb present boundari condit flow zero veloc infin fulfil develop spiral flow
19,an investigation of the pressure distribution on conical bodies in hypersonic flows .,"an investigation of the pressure distribution on conical bodies in hypersonic flows . a large amount of work on conical flow fields without axial symmetry at supersonic speed is presently available . however, no apparent hypersonic approximation has yet been derived . in this note, experimental data on two elliptical cones at m = 6 are presented and a hypersonic approach obtained from physical considerations is suggested .",investig pressur distribut conic bodi hyperson flow larg amount work conic flow field without axial symmetri superson speed present avail howev appar hyperson approxim yet deriv note experiment data two ellipt cone present hyperson approach obtain physic consider suggest
20,generalised-newtonian theory .,"generalised-newtonian theory . author generalizes lees's (amr 10(1957), rev. 2601) modification of newtonian theory for blunt-nose bodies to apply to pointed- nose bodies as well . the result is expressed by sin where is the local inclination of the body surface and the subscript /max/ refers to the maximum local inclination and pressure coefficient . for blunt-nose bodies and the generalized theory reverts to lees's blunt-nose modification with given by normal shock relations . author shows, by comparison of newtonian and generalized-newtonian theory with exact solutions, the superiority of generalized-newtonian theory . he also shows that both two-dimensional and axisymmetric shapes are correlated by this generalization . results are presented in two figures that support author's generalization and indicate the independence of the correlation from variations in both the hypersonic similarity parameter k = m(d1) and the ratio of specific heats y . reviewer believes this generalization should be of interest to those engaged in development of hypersonic hardware as well as theory .",generalis newtonian theori author gener lee amr 10 1957 rev 2601 modif newtonian theori blunt nose bodi appli point nose bodi well result express sin local inclin bodi surfac subscript max refer maximum local inclin pressur coeffici blunt nose bodi gener theori revert lee blunt nose modif given normal shock relat author show comparison newtonian gener newtonian theori exact solut superior gener newtonian theori also show two dimension axisymmetr shape correl gener result present two figur support author gener indic independ correl variat hyperson similar paramet d1 ratio specif heat review believ gener interest engag develop hyperson hardwar well theori
21,on heat transfer in slip flow .,"on heat transfer in slip flow . a number of authors have considered the effect of slip on the heat transfer and skin friction in a laminar boundary layer over a flat plate . reference 1 considers this by a perturbation on the usual laminar boundary-layer analysis while some other studies.dash e.g., reference the impulsive motion of an infinite plate .",heat transfer slip flow number author consid effect slip heat transfer skin friction laminar boundari layer flat plate refer consid perturb usual laminar boundari layer analysi studi dash refer impuls motion infinit plate
22,on slip-flow heat transfer to a flat plate .,"on slip-flow heat transfer to a flat plate . assuming that continuum flow energy equation in a boundary layer remains valid well into slip region and taking account of the temperature jump in a moving rarefied gas and for influence of large mean free path through appropriate boundary conditions, a solution is found for the temperature gradient in the slip region . then from maslen expression (j. aero. sci. 25, 6, 400-401, june slipping fluid to a flat plate, and behavior confirms results for small values of knudsen number .",slip flow heat transfer flat plate assum continuum flow energi equat boundari layer remain valid well slip region take account temperatur jump move rarefi ga influenc larg mean free path appropri boundari condit solut found temperatur gradient slip region maslen express aero sci 25 400 401 june slip fluid flat plate behavior confirm result small valu knudsen number
23,skin-friction and heat transfer characteristics of a laminar boundary layer on a cylinder in axial incompressible flow .,"skin-friction and heat transfer characteristics of a laminar boundary layer on a cylinder in axial incompressible flow . a solution is given for the case of the laminar boundary layer of an incompressible fluid of constant properties on the exterior of a cylinder with flow parallel to the cylinder axis . this case differs from the blasius solution for flow along a flat plate by considering the effect of the curvature in a plane transverse to the flow direction . the local skin-friction and heat-transfer coefficients for a prandtl number of 0.715 are evaluated and compared to the similar magnitudes for flat plate flow, and the effect of the curvature is shown to be significant in some practical cases . recovery factors are evaluated, and this quantity is found to be insensitive to the effect of curvature of the boundary .",skin friction heat transfer characterist laminar boundari layer cylind axial incompress flow solut given case laminar boundari layer incompress fluid constant properti exterior cylind flow parallel cylind axi case differ blasiu solut flow along flat plate consid effect curvatur plane transvers flow direct local skin friction heat transfer coeffici prandtl number 715 evalu compar similar magnitud flat plate flow effect curvatur shown signific practic case recoveri factor evalu quantiti found insensit effect curvatur boundari
24,theory of stagnation point heat transfer in dissociated air .,"theory of stagnation point heat transfer in dissociated air . the boundary-layer equations are developed in general for the case of very high speed flight where the external flow is in a dissociated state . in particular the effects of diffusion and of atom recombination in the boundary layer are included . it is shown that at the stagnation point the equations can be reduced exactly to a set of nonlinear ordinary differential equations even when the chemical reactions proceed so slowly that the boundary layer is not in thermochemical equilibrium . two methods of numerical solution of these stagnation point equations are presented, one for the equilibrium case and the other for the nonequilibrium case . numerical results are correlated in terms of the parameters entering the numerical formulation so as not to depend critically on the physical assumptions made . for the nonequilibrium boundary layer, both catalytic (to atom recombination) and noncatalytic wall surfaces are considered . a solution is represented which shows the transition from the /frozen/ boundary layer (very slow recombination rates) to the equilibrium boundary layer (fast recombination rates) . a recombination rate parameter is introduced to interpret the nonequilibrium results, and it is shown that a scale factor is involved in relating the equilibrium state of a boundary layer on bodies of different sizes . it is concluded that the heat transfer through the equilibrium stagnation point boundary layer can be computed accurately by a simple correlation formula and that the heat transfer is almost unaffected by a nonequilibrium state of the boundary layer provided the wall is catalytic and the lewis number near unity .",theori stagnat point heat transfer dissoci air boundari layer equat develop gener case high speed flight extern flow dissoci state particular effect diffus atom recombin boundari layer includ shown stagnat point equat reduc exactli set nonlinear ordinari differenti equat even chemic reaction proceed slowli boundari layer thermochem equilibrium two method numer solut stagnat point equat present one equilibrium case nonequilibrium case numer result correl term paramet enter numer formul depend critic physic assumpt made nonequilibrium boundari layer catalyt atom recombin noncatalyt wall surfac consid solut repres show transit frozen boundari layer slow recombin rate equilibrium boundari layer fast recombin rate recombin rate paramet introduc interpret nonequilibrium result shown scale factor involv relat equilibrium state boundari layer bodi differ size conclud heat transfer equilibrium stagnat point boundari layer comput accur simpl correl formula heat transfer almost unaffect nonequilibrium state boundari layer provid wall catalyt lewi number near uniti
25,inviscid hypersonic flow over blunt-nosed slender bodies .,"inviscid hypersonic flow over blunt-nosed slender bodies . at hypersonic speeds the drag area of a blunt nose is much larger than the drag area of a slender afterbody, and the energy contained in the flow field in a plane at right angles to the flight direction is nearly constant over a downstream distance many times greater than the characteristic nose dimension . the transverse flow field exhibits certain similarity properties directly analogous to the flow similarity behind an intense blast wave found by g. i. taylor, s. c. lin, and a. sakurai . a comparison with the experiments of hammitt, vas, and bogdonoff on a flat plate with a blunt leading edge at in helium shows that the shock-wave shape is predicted very accurately by this similarity analysis . the predicted surface pressure distribution is somewhat less satisfactory . experimental results on a hemisphere-cylinder obtained at in the galcit air tunnel indicate that not only the shock-wave shape but also the surface pressures for this body are given very closely by the similarity theory, except near the hemisphere-cylinder junction . energy considerations combined with a detailed study of the equations of motion show that flow similarity is also possible for a class of bodies of the form, provided that, where for a two-dimensional body and for a body of revolution . when the shock shape is not similar to the body shape, and the entire flow field some distance from the nose must depend to some extent on the details of the nose geometry . by again utilizing energy and drag considerations one finds that at hypersonic speeds the inviscid surface pressures generated by a blunt leading edge are larger than the pressures induced by boundary-layer growth on an insulated flat surface for an insulated blunt-nosed slender body of revolution the corresponding distance is given by . (here is free-stream reynolds number based on leading-edge thickness, or nose diameter .) in free flight these constants are replaced by 1,700 and 20, respectively, so that viscous interaction effects are important over the forward portion of a blunt- nosed slender body only for relatively low values of . however, /far downstream/ of the nose the inviscid over-pressure is small and viscous interaction phenomena will have to be taken into account .",inviscid hyperson flow blunt nose slender bodi hyperson speed drag area blunt nose much larger drag area slender afterbodi energi contain flow field plane right angl flight direct nearli constant downstream distanc mani time greater characterist nose dimens transvers flow field exhibit certain similar properti directli analog flow similar behind intens blast wave found taylor lin sakurai comparison experi hammitt va bogdonoff flat plate blunt lead edg helium show shock wave shape predict accur similar analysi predict surfac pressur distribut somewhat less satisfactori experiment result hemispher cylind obtain galcit air tunnel indic shock wave shape also surfac pressur bodi given close similar theori except near hemispher cylind junction energi consider combin detail studi equat motion show flow similar also possibl class bodi form provid two dimension bodi bodi revolut shock shape similar bodi shape entir flow field distanc nose must depend extent detail nose geometri util energi drag consider one find hyperson speed inviscid surfac pressur gener blunt lead edg larger pressur induc boundari layer growth insul flat surfac insul blunt nose slender bodi revolut correspond distanc given free stream reynold number base lead edg thick nose diamet free flight constant replac 700 20 respect viscou interact effect import forward portion blunt nose slender bodi rel low valu howev far downstream nose inviscid pressur small viscou interact phenomena taken account
26,inviscid leading-edge effect in hypersonic flow .,inviscid leading-edge effect in hypersonic flow . current interest in the problem of inviscid-viscous interaction has led to the realization of the significant effect of the leading-edge thickness in hypersonic flow . the purpose of this note is to give an account of the downstream influence of the blunt leading edge on the basis of the hypersonic small perturbation theory .,inviscid lead edg effect hyperson flow current interest problem inviscid viscou interact led realiz signific effect lead edg thick hyperson flow purpos note give account downstream influenc blunt lead edg basi hyperson small perturb theori
27,newtonian flow theory for slender bodies .,"newtonian flow theory for slender bodies . as an aid to the aerodynamieist in the design of air frames for hypersonic speeds (speeds faster than about mach 5), newtonian flow theory is examined from the point of view of gas dynamics and hypersonic small-disturbance theory . the usual theory is shown to result as the first approximation of an expansion valid for small . a basic similarity parameter is introduced . a general solution of the first approximation for the flow past slender bodies (bodies which cause only a small disturbance to the stream) at zero angle of attack is given . an important condition which limits the application of the theory is noted-namely, that the pressure coefficient on the surface not fall to zero . the theory is then applied to cones and to bodies whose shape is .",newtonian flow theori slender bodi aid aerodynamieist design air frame hyperson speed speed faster mach newtonian flow theori examin point view ga dynam hyperson small disturb theori usual theori shown result first approxim expans valid small basic similar paramet introduc gener solut first approxim flow past slender bodi bodi caus small disturb stream zero angl attack given import condit limit applic theori note name pressur coeffici surfac fall zero theori appli cone bodi whose shape
